"id","puzzle_id","team_id","request","request_time","claimer","claim_time","response","response_time","status"
"20","objections","f8fe0659-406c-4474-b85c-edad3bea5e42","Not really sure what to do here. Are we supposed to find real kinds of objections, like from https://en.wikipedia.org/wiki/Objection_(United_States_law)#List_of_objections ? I think the second might be ""irrelevant"" or ""immaterial"" and the last ""argumentative"" which would give ?RT or ?MT, but ART isn't the answer.","2024-11-25 06:08:40.087+00","a29306bd-fd6a-49c7-bb90-45a15abc7117","2024-11-25 08:58:35.191+00","Looking for kinds of objections is correct! The Wikipedia page includes the three types you are looking for. The last one is indeed ""argumentative,"" but the second is neither ""irrelevant"" nor ""immaterial."" Hint: Alice may not know about growing white rose bushes.","2024-11-25 09:05:38.493+00","answered"
"21","bould-idea","45e86f07-dc04-4972-9e96-ab2dbad89986","Hello!  I have no clue about this puzzle :-( I think 'bould' might hint at 'bold,' but I did some searches related to bouldering and didn’t find anything useful.","2024-11-25 07:47:39.524+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 15:26:28.074+00","Hi! You're looking at a bouldering wall. The flavor text suggests you try climbing over the side of the maze -- maybe the order in which you would climb the holds could be useful?","2024-11-25 15:27:28.117+00","answered"
"22","triple-threat","3e65f7e8-674d-490b-bab2-6154e3c24f2d","I have the 6 horses, but dont know how to extract, I assume per the flavourtext they all placed first? So i tried indexing 1 from each horse?
Sir Barton
Omaha
Whirlaway
Assault
Seattle Slew
American Pharoah","2024-11-25 07:51:12.488+00","a29306bd-fd6a-49c7-bb90-45a15abc7117","2024-11-25 08:49:47.245+00","Those horses are correct. They all placed first, but there's a different way you're supposed to extract. Note that the horses were all pretty early Triple Crown winners.","2024-11-25 08:54:44.005+00","answered"
"23","objections","8027df2c-5617-4b42-88f3-7d3e88156eb4","Henlo hint answerers! :3
So far, I've managed to figure out that the missing words all seem to be common objections in court (e.g. ARGUMENTATIVE for the defense's third objection), but all I extract from the squared blanks is BRT.

Am I on the right track with this train of thought, or perhaps a nudge is in order? Thanks! :]","2024-11-25 09:01:40.949+00","5d1374d2-9cc5-48eb-84b2-e183488edff2","2024-11-25 14:08:57.627+00","Hello! You're really close. It sounds like you have the first and last letters correct, but not the middle one. See if you can find any other objections that fit the second enumeration, and think about whether Alice would even know anything about growing white roses!","2024-11-25 14:11:55.452+00","answered"
"24","bould-idea","13aa0063-eb28-43fe-a214-f7cf2313218e","Hi, could we have a hint as to how to start this puzzle, we have no idea at all.  Is it world of Warcraft  related? 
Ta 
","2024-11-25 14:18:27.74+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 15:25:11.37+00","Hi! The flavor text suggests climbing over the maze. You're looking at something related to climbing :)","2024-11-25 15:26:12.019+00","refunded"
"25","bould-idea","882775a6-1f9e-46a0-9f73-9ff4fa4ff5cd","Walled at breakin, just need a hint to get started :)","2024-11-25 14:29:41.199+00","882775a6-1f9e-46a0-9f73-9ff4fa4ff5cd",,"[REFUNDED]",,"refunded"
"26","bould-idea","c162cc18-2f8e-48f2-a98f-14685e98c6c1","Hello
I didn't understand the meaning of this puzzle. I have a few guesses. Maybe the objects represent maps, islands, from the real world or from World of Warcraft. Or maybe it has nothing to do with these maps and I need to figure out how to climb from start to finish, or maybe these objects represent something else.
I'm sorry I'm not a native English speaker, so maybe there are some mistakes in expression.

Translated with DeepL.com (free version)","2024-11-25 17:22:59.118+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 17:23:55.73+00","Hello! You are indeed looking at a climbing wall, and the flavortext suggests you should try to climb to the top. The numbers near the holds suggest that you might want to figure out what the holds are called. Cheers!","2024-11-25 17:25:42.108+00","refunded"
"27","objections","f69659f7-8848-45dd-ab3e-9961293902a7","I believe this puzzle is based around getting the correct type of objection to why a question can't be asked. However, with ""a spluttering response"" being active, I'm not exactly sure what the answer could be. 

_ _ _ _ _ _ _ _ _ (9)
A m [b] i g u o u s
_ _ _ _ _ _ _ _ _ _ (10)
I r [r] e l e v a n t
_ _ _ _ _ _ _ _ _ _ _ _ _ (13)
argumenta[t]ive

Are any of these correct?","2024-11-25 17:57:11.171+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 18:37:26.047+00","You're very close. The first and last are correct!
For the second, the defense is objecting that Alice does not have the expert knowledge that the prosecution is asking for.","2024-11-25 18:40:24.597+00","refunded"
"28","shiritori","5424071e-33cf-46bb-b908-fba5bdcbcc55","Struggling to identify the top right image - it is a mountain but specifically the name for the cloud / mist that the arrow is pointing to. Google doesn't seem to be much help.
Have by row:
Colon / Box / ?
Diodes / Elope / Opera
Oxbow / Radio / Rib

With the following chains

RIB -> BOX -> OXBOW (giving comfortably a W)
RADIO -> DIODES
ELOPE -> OPERA

I'm thinking COLON may well be wrong? As I think I need a word that starts DES or ERA OR ends RAD or ELO roughly.","2024-11-25 19:14:59.469+00","5424071e-33cf-46bb-b908-fba5bdcbcc55","2024-11-25 19:17:01.631+00","[REFUNDED]",,"refunded"
"29","bloodsuckers","f69659f7-8848-45dd-ab3e-9961293902a7","https://docs.google.com/spreadsheets/d/1BhTDgUw0pUVCon532NDZ-kXE5DXYm8PbM9tnNTtMzl8/edit?usp=sharing  - that is my current progress on this puzzle. I'm not 100% sure on Count Chocula as I can't find... honestly ANYTHING on him beyond ""he has buck teeth and doesn't count"". Any sort of pointers to solve this would be amazing.","2024-11-25 19:41:26.597+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 19:45:04.851+00","Hi! There is a single dataset that has information on all of the vampires in this puzzle. There is one true ability given about Count Chocula. Note that you can likely solve this puzzle without having complete data on one or two of the vampires. Best of luck!","2024-11-25 19:50:32.621+00","refunded"
"30","previous-commute","5424071e-33cf-46bb-b908-fba5bdcbcc55","Have found that these schools have all changed names since 2020.
All appear to be at the same address so not sure what I'm trying to find...","2024-11-25 20:05:12.146+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-25 20:06:29.547+00","Hi! You'll note that in addition to the Google Maps links all having schools as destinations, they also have different addresses as starting points. See if you can use these starting points in tandem with the fact that the schools have all changed names to extract a solution.","2024-11-25 20:08:40.039+00","refunded"
"31","objections","5424071e-33cf-46bb-b908-fba5bdcbcc55","Think this is filling in with the type of objection heard in court.

Have irrelevant and argumentative for the latter 2 but unsure on the first. Tried ART as a fitting word but no","2024-11-25 20:11:46.815+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 21:55:53.108+00","Hi! That is the correct thought, and argumentative is spot-on but irrelevant is incorrect. The correct ID has to do with the knowledge possessed by the witness. For the first statement, the correct ID has to do with the form of the question. Hope that helps!","2024-11-25 22:01:15.741+00","refunded"
"32","shiritori","1ace0a03-2dc7-477e-89a0-85759d3d0bb2","We have: RI-RIB-B-BOX-OX-OXBOW-BOW-BOWEL-EL-ELOPE-OPE-OPERA-RA-RADIO-DIO-DIODES-DES-DESCENT-CENT as a Shiritori style word chain but struggling to link the CENT+RI to get an answer. Example gives SHI+RI=SHIRI so expected a similar mechanism here to close the chain. What are we missing that's staring us in the face! :-)","2024-11-25 20:33:24.46+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-25 20:41:22.349+00","Hi! Your chain is correct, so I think you may be talking yourselves out of the answer a bit. Try reading back through the flavor text for what specifically we're looking for as the answer. I'll refund the hint since I recognize this is a bit of a vague response, but you're so close I fear I can't give anything more away without spoiling the solution for you!","2024-11-25 20:48:18.278+00","refunded"
"33","previous-commute","5424071e-33cf-46bb-b908-fba5bdcbcc55","Hello again, have been searching around the starting addresses but can't seem to find anything annoyingly.
I thought it might be a case of an address change / something that used to be at that location but can't find anything concrete in some cases.
School addresses haven't changed so the journeys should remain the same. Can't be to do with lengths of journies as Google updates in real time.","2024-11-25 22:31:48.511+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-25 22:58:52.611+00","It's the starting addresses themselves that are useful, nothing to do what's at the address. From your guesses it looks like you're close, just double check your spelling/extraction!","2024-11-25 23:02:45.895+00","refunded"
"34","prada","f69659f7-8848-45dd-ab3e-9961293902a7","1) at least on Vivaldi, this puzzle fails to load at all. Likely something with the way it's rendering in-person vs remote. https://imgur.com/vCivYeu - 2) this puzzle has something to do with adding ""Devil's"" to something - Den, Devil's Den / Advocate, Devil's Advocate / Lettuce, Devil's Lettuce. However, I'm finding the final thing to be a finial, which... I'm not exactly sure what to do with that. Devil's Finial isn't a thing, and I can't think of what other element is being clued in. Any pointers in the right direction?","2024-11-25 22:54:09.014+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-25 22:57:48.411+00","You're basically there. We're looking for the specific type/usage of finial that is pictured. Try reverse image searching if you're stuck.","2024-11-25 22:58:43.636+00","refunded"
"35","prada","5424071e-33cf-46bb-b908-fba5bdcbcc55","Not a hint request but this puzzle doesn't work - no answer box, no content, nothing available. Not sure if you can fix this?","2024-11-25 23:05:35.775+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 23:06:40.179+00","This seems to be a caching issue - try logging out and logging back in again. If that doesn't work, shoot us another hint request.
(I see you've also submitted a Feedback for this - sorry for missing that!)","2024-11-25 23:07:42.031+00","refunded"
"36","prada","5424071e-33cf-46bb-b908-fba5bdcbcc55","Not sure? I can only see half of the puzzle so I'm assuming this isn't solveable fully remote?
Devil's Den / Devil's Advocate / Devil's Lettuce / ? is what I can see","2024-11-25 23:13:46.231+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-25 23:13:57.904+00","Great! The puzzle is now rendering correctly.
This puzzle is solvable by any team.","2024-11-25 23:14:38.092+00","refunded"
"37","bloodsuckers","5424071e-33cf-46bb-b908-fba5bdcbcc55","Struggling to find a reasonable source for a lot of these. Seem to get conflicting information depending on which website you use.
Understand that the mechanic is verifying which of the statements are True / False and using braille for the extract.
I currently have the letters LOMA????FOLN. Which is complete giberish!","2024-11-25 23:19:35.601+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 23:30:03.682+00","Hi! There is a single source that has information about all of these vampires and their traits; searching for something like ""list of vampire traits"" should get you there. That's a good understanding of the mechanic; you should try to figure out whether the braille takes the true traits or the false traits (from what you have, i would try the other option). Hope that helps!","2024-11-25 23:32:29.368+00","refunded"
"38","bloodsuckers","5424071e-33cf-46bb-b908-fba5bdcbcc55","I was using one of these already but getting a lot of discrepancies still. Have tried Braille both ways and just not getting anywhere :(
","2024-11-25 23:38:28.182+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-25 23:45:33.397+00","I see. You should use the Vampire Encyclopedia wiki, and I suggest checking some of your data. The first letter of the extraction should be a P.","2024-11-25 23:46:23.808+00","refunded"
"39","bloodsuckers","5424071e-33cf-46bb-b908-fba5bdcbcc55","Thank you!! I've got PONGOO?CVOLE and clearly still miles off. Really don't get what I;m doing wrong. Sheet 3 if that helps
https://docs.google.com/spreadsheets/d/1zdcby-fWH0cUyvGTK_CulBRx09oJYTrqiOFxSlUEkTA/edit?usp=sharing 
Tried Braille both ways and still get some letters that can't work","2024-11-26 00:09:23.254+00","5424071e-33cf-46bb-b908-fba5bdcbcc55",,"[REFUNDED]",,"refunded"
"40","record-time","9abfee85-1e45-4326-86a9-862e51002dbc","I seem to have trouble with extraction. I've already gathered the names, country of origin and number for each of the records, but I seem to struggle on finding the right way to extract it. Any hints is greatly appreciated!

9, Kidu Mearg (Ethiopia)
8, Chirag Lukha (UK)
6, John Fitness (NZ)
8, Daryl Tan Hong An (SG)
13, Ashrita Furman (USA)
1, Emperor Penguin and King Penguin
15, Oleksandr Usyk (Ukraine)
11, Neil Rackers (USA)","2024-11-26 01:37:41.729+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-26 01:38:40.4+00","All of your data is correct except for ""Fewest fights to become a four-belt undisputed world boxing champion"". There is someone with a lower number of fights!

Otherwise, you are super close. You have a set of numbers and a set of words/names. Could you try indexing?","2024-11-26 01:41:02.66+00","refunded"
"41","public-eye-exam","9abfee85-1e45-4326-86a9-862e51002dbc","I believe I have all 5 feeder clues, but I'm getting stumped by understanding what ""sums of letter values"" implies.

My feeders are:
PARAGRAPHICALLY - PA GRAPH ALLY
CENTRALEXECUTIVECOMMITTEEOFTHESOVIETUNION - NT LE ITTE
CLOVER - C LO R
GUINNESS - G N SS
BACKFILLS - B AC KFILL

And I've noticed that the eye exam picture is getting more and more clearer. I tried to use an online letter sum calculator, but terms like `GRAPH` and `ALLY` net values beyond 26. Attempting to perform modulo 26 gives strange letter outputs that hardly seem valid. 

Am I understanding the puzzle question correctly? Any tips is much appreciated!","2024-11-26 02:36:17.054+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-26 02:36:45.856+00","Hi! Try making a list of all of the sums you've found, and see if you notice anything. See if you can figure out what the colors on the eye exam clue, and you should be able to use that to extract an answer. Good luck!","2024-11-26 02:38:20.929+00","refunded"
"42","public-eye-exam","9abfee85-1e45-4326-86a9-862e51002dbc","Hi, I have sums {17,50,50}, {34,17,54}, {3,27,18}, {7, 14, 38}, {2, 4, 50}. I've been staring at the colors and to be honest I do not know how to proceed from here? I've tried summing up by clue to get {117, 105, 48, 49, 56} but even then converting it to chars via ascii leads nowhere. Can a more direct clue be given? I do not understand anything at all, and with the eye exam chart having each word under a different effect (red-green, normal, inverted, red n green) I feel overwhelmed and have no idea how to start or guess my way through. Thanks!","2024-11-26 02:46:32.716+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-26 02:47:03.532+00","Of course. The colors on the eye exam correspond to the colors found on a dartboard, and there is a single orientation and placement of the dartboard so that the E is at the bullseye (as clued by the red with green rim), and the lowest four letters are on their corresponding green and red squares around the edge. Don't sum by clue; instead re-read the flavortext (""scoring you by sums of letter values"") to get an idea as to how to get letters from the numbers. Good luck!","2024-11-26 02:49:40.454+00","refunded"
"43","prada","8027df2c-5617-4b42-88f3-7d3e88156eb4","Henlo hint answerers! :3
So far, I'm working with the idea that the first three images all refer to a phrase in the form of ""Devil's [item]"" (e.g. the third image shows cannabis, otherwise known as ""Devil's Lettuce"") and had noticed that the title refers to the movie ""The Devil Wears Prada"". However, I'm a bit confused as to how I could connect the three images AND the movie to the fourth, unknown image. A nudge would be appreciated.
Thanks! :]","2024-11-26 03:02:20.45+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-26 03:03:46.114+00","Hi! From what I can tell, you are missing some information that you'll need to solve the puzzle. I recommend rereading the flavor text carefully to figure out how to progress.","2024-11-26 03:04:46.369+00","refunded"
"44","prada","8027df2c-5617-4b42-88f3-7d3e88156eb4","As a follow-up to the last hint, I presume that there's flavortext to the puzzle, but I (as a remote team) can't seem to see it on the site itself. Is the puzzle possibly split into two parts and there may be a on-site half of this as well, or is there supposed to be flavortext attached to it but was removed for unknown reasons?
Thanks! :]","2024-11-26 03:16:27.632+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-26 03:19:20.624+00","The flavor text I was referring to was the snippet referring to the page as the remote half of the puzzle (and the bit about changing settings). The puzzle has no on-site elements.","2024-11-26 03:21:56.083+00","refunded"
"45","triple-threat","3e65f7e8-674d-490b-bab2-6154e3c24f2d","HOW","2024-11-26 05:53:12.063+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-26 05:54:08.88+00","The flavortext asks what number each horse was to take the crowns. What if, for each number, you took that letter from the respective horse name?","2024-11-26 05:55:33.859+00","refunded"
"46","alice","476d8e6a-3767-4ac0-ac45-b29c0088de75","I don't know how to convert the puzzle answers to cards.  I'm guessing that since the first letters of each answer (HECTOR, HELENOFTROY, CLOVER, and the currently unknown answer) becomes the suit (H =  Hearts, C = Clubs, etc), but that's all I have.","2024-11-26 06:53:22.795+00","fee3c434-034b-4f1d-8da0-c3a686c74cec","2024-11-26 07:01:52.49+00","Hello!
These answers each map to a different card. Have you tried googling (or search engine-ing) all of them together? (The first letters of the answers are not relevant.)","2024-11-26 09:01:21.173+00","refunded"
"47","maize-maze","45e86f07-dc04-4972-9e96-ab2dbad89986","Hello! We have mapped out the maze route but are unsure how to extract accordingly. We also don't fully understand the 'letters on the ground' in the flavor text. Our progressing：https://brown-urban-hornet-311.mypinata.cloud/ipfs/QmTYu85KpavRroQqG1fzQeodShvmAwErbvXiQNus36yV9S  Could you please give us some guidance?","2024-11-26 12:13:10.88+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-26 14:29:08.298+00","You've correctly identified the route though the maze, and thus the order that each puzzle extracts into the answer. To find the ""letters on the ground,"" I suggest seeking inspiration from the title of the puzzle.","2024-11-26 14:30:51.425+00","refunded"
"48","gate-lock","8027df2c-5617-4b42-88f3-7d3e88156eb4","Not a hint, but I'm a tad curious as to why the answer checker isn't available for this metameta. Figured I'd ask, but I might look stupid otherwise... :melting_face:
Thanks! :]","2024-11-26 13:18:29.319+00","e57dc5ac-d987-4627-b933-ae6347d3f10a","2024-11-26 14:12:44.305+00","Hi! Once you solve, it should (hopefully) be obvious why there is no answer checker. Good luck!","2024-11-26 14:13:09.952+00","refunded"
"49","maize-maze","5424071e-33cf-46bb-b908-fba5bdcbcc55","Think I understand how I'm supposed to be moving through the maze.

E.g. starting at Black I have the following route:
8
7
HORSE
2
DEVILSBEDPOST
HELENOFTROY
3
GUINNESS
9
ANS TO PREFIX
4
BUSING
10
WAVER
5

As the maze is burning I'm not sure if I'm supposed to go through hedges etc. but this route feels clean and likewise for the equivalent in white.

I'm not sure what I'm supposed to be doing from here though. I've tried indexing into the answers but doesn't seem to work (e.g. horse isn't long enough). I thought potentially the numbers were just for ordering but then the maze wouldn't have been needed.
Also are the letters on the ground the numbers?

Just in need of a where to look next really!

Ty","2024-11-26 16:27:35.58+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-26 17:28:15.309+00","Hi! I would look at the title of the puzzle, which should clue something you can do with each of the answers that gives you a letter for each feeder. Hope that helps unstick you!","2024-11-26 17:32:46.473+00","refunded"
"50","incomplete-instrumentation","9b9db35a-7cf0-4753-a648-51949ddaa586","I've Identified the instruments and connected them to the different questions / parts (Link to Spreadsheet; https://docs.google.com/spreadsheets/d/1SWEZqup0p6eSczAfmT3wR0kwAoOdJAq2XaW_YE4NkDY/edit?usp=sharing) using the start of each instrument to answer the questions, but I cannot figure out the next step. I tried taking the #'s from the question for both the Answers and Leftover sections of the instruments, and used Nutrimatic to see if I was having to rearrange them but couldn't find anything that made sense so I assume that was the wrong direction, but unsure what else to try. ","2024-11-26 17:19:22.041+00","1b35f8d7-e362-4060-8376-e76a7c92b671","2024-11-26 17:25:18.045+00","Hi! You should order by the given order of the instruments and look at one of your two extraction columns. That should get you the rest of the way after a final simple step. Good luck!","2024-11-26 17:26:22.958+00","refunded"
